,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
46,레드 스패로,https://www.kobis.or.kr/common/mast/movie/2018/02/42064df4d6ac4d47a8ce02126e065eb1.jpg,레드 스패로.jpg,20180341,장편 | 일반영화 | 스릴러 | 140분 3초 | 청소년관람불가 | 미국,2D,[주연] 제니퍼 로렌스 | 조엘 에저튼 | 마티아스 쇼에나에츠 | 샬롯 램플링 | 메리-루이스 파커 | 제레미 아이언스
47,마지막 4중주,https://www.kobis.or.kr/common/mast/movie/2013/07/4aba12e2c23246a0bef3f7868046fd7b.jpg,마지막 4중주.jpg,20139826,장편 | 예술영화 | 드라마 | 105분 31초 | 15세이상관람가 | 미국,"필름,2D",[주연] 필립 세이모어 호프만(로버트) | 크리스토퍼 월켄(피터 미첼) | 캐서린 키너(줄리엣 겔바트) | 마크 이바니르(다니엘 러너)
48,디바,https://www.kobis.or.kr/common/mast/movie/2020/08/1ed9624b99dd4433819f3926449fa23b.jpg,디바.jpg,20190601,"장편 | 일반영화 | 스릴러, 미스터리 | 84분 11초 | 15세이상관람가 | 한국",2D,[주연] 신민아(이영) | 이유영(수진)
49,더 기버: 기억전달자,https://www.kobis.or.kr/common/mast/movie/2014/07/5dc8e5aae02a42c1bd63028425d7d527.jpg,더 기버- 기억전달자.jpg,20149099,"장편 | 예술영화 | SF, 드라마, 판타지 | 97분 12초 | 12세이상관람가 | 미국","필름,2D",[주연] 브렌튼 스웨이츠 | 테일러 스위프트 | 메릴 스트립 | 제프 브리지스 | 알렉산더 스카스가드 | 케이티 홈즈 | 카메론 모나한 | 오데야 러쉬
50,더 건맨,https://www.kobis.or.kr/common/mast/movie/2015/04/694937f48eda4f62b79d8502629c1e57.jpg,더 건맨.jpg,20157904,"장편 | 일반영화 | 액션, 스릴러 | 115분 10초 | 청소년관람불가 | 프랑스, 스페인, 영국","필름,2D",[주연] 숀 펜 | 하비에르 바르뎀 | 이드리스 엘바 | 레이 윈스톤 | 마크 라이런스
51,제로 다크 서티,https://www.kobis.or.kr/common/mast/movie/2013/02/03ead2772937432c906090ac19b72071.jpg,제로 다크 서티.jpg,20129262,"장편 | 일반영화 | 전쟁, 액션, 스릴러 | 157분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 제시카 차스테인 | 제이슨 클락 | 크리스 프랫 | 조엘 에저튼 | 에드가 라미레즈
52,로켓맨,https://www.kobis.or.kr/common/mast/movie/2019/05/66c0aa97d0504f23ae39aa9438e45de6.jpg,로켓맨.jpg,20198291,"장편 | 일반영화 | 드라마, 판타지 | 121분 7초 | 15세이상관람가 | 영국, 미국",2D,[주연] 태런 에저튼 | 리처드 매든 | 브라이스 달라스 하워드 | 제이미 벨
53,도희야,https://www.kobis.or.kr/common/mast/movie/2014/05/0028dc2a6a26471fa6ae919cd945ce46.jpg,도희야.jpg,20134586,장편 | 예술영화 | 드라마 | 119분 3초 | 청소년관람불가 | 한국,"필름,2D",[주연] 배두나 | 김새론 | 송새벽
54,우리가 꿈꾸는 기적: 인빅터스,https://www.kobis.or.kr/upload/up_img/cleansing/05/mov_20100105_3.jpg,우리가 꿈꾸는 기적- 인빅터스.jpg,20100105,장편 | 일반영화 | 드라마 | 133분 0초 | 전체관람가 | 미국,"필름,2D",[주연] 모건 프리먼 | 맷 데이먼
55,프리덤,https://www.kobis.or.kr/common/mast/movie/2015/09/4579dbc516ea4be8babbbd7c49d54b69.jpg,프리덤.jpg,20155690,"장편 | 예술영화 | 드라마, 가족 | 94분 39초 | 12세이상관람가 | 미국","필름,2D",[주연] 쿠바 구딩 주니어 | 베르나르드 포처 | 윌리엄 새들러
