,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
141,르누아르,https://www.kobis.or.kr/common/mast/movie/2014/01/48b33fb03b23436e9dd28bdb0d329150.jpg,르누아르.jpg,20133142,장편 | 예술영화 | 드라마 | 111분 38초 | 청소년관람불가 | 프랑스,"필름,2D",[주연] 미셸 부케 | 빈센트 로티어스 | 헬렌 바부
142,토마스와 친구들: 블루마운틴 미스터리,https://www.kobis.or.kr/common/mast/movie/2013/09/d01987272f2548d8b3b7e85e15ac3f14.jpg,토마스와 친구들- 블루마운틴 미스터리.jpg,20133159,장편 | 일반영화 | 애니메이션 | 61분 33초 | 전체관람가 | 영국,"필름,2D",
143,사라의 열쇠,https://www.kobis.or.kr/upload/up_img/2011/08/mov_H96H71_20110816135445_1.jpg,사라의 열쇠.jpg,20110900,장편 | 예술영화 | 드라마 | 111분 0초 | 12세이상관람가 | 프랑스,"필름,2D",[주연] 크리스틴 스콧 토마스
144,쿵푸 요가,https://www.kobis.or.kr/common/mast/movie/2017/03/8fde72247cbb4c14854b1dd204600df3.jpg,쿵푸 요가.jpg,20172307,"장편 | 예술영화 | 액션, 어드벤처, 코미디 | 107분 0초 | 12세이상관람가 | 중국, 인도",2D,[주연] 성룡 | 레이
145,낫아웃,https://www.kobis.or.kr/common/mast/movie/2021/05/a9ed509f39924bcca2445027ed69d7fb.jpg,낫아웃.jpg,20217121,장편 | 독립영화 | 드라마 | 107분 27초 | 15세이상관람가 | 한국,2D,[주연] 정재광(광호) | 정승길(승길) | 김희창(감독) | 이규성(민철)
146,고양이 춤,https://www.kobis.or.kr/upload/up_img/2011/11/mov_693340_20111101090126_1.jpg,고양이 춤.jpg,20119836,장편 | 예술영화 | 다큐멘터리 | 76분 0초 | 전체관람가 | 한국,"필름,2D",[주연] 이용한(나레이션)
147,스코어: 영화음악의 모든 것,https://www.kobis.or.kr/common/mast/movie/2017/09/c450b3d97790494b872b9b572cea26a9.jpg,스코어- 영화음악의 모든 것.jpg,20170017,장편 | 예술영화 | 다큐멘터리 | 92분 44초 | 전체관람가 | 미국,2D,
148,디태치먼트,https://www.kobis.or.kr/common/mast/movie/2014/04/3923c52833564a98bf357096eac64b6c.jpg,디태치먼트.jpg,20134601,장편 | 예술영화 | 드라마 | 97분 20초 | 청소년관람불가 | 미국,"필름,2D",[주연] 애드리언 브로디(헨리 바르트) | 마샤 게이 하든 | 크리스티나 헨드릭스(미세스 매디슨) | 루시 리우(닥터 파커) | 제임스 칸(미스터 시볼트)
149,랜드 오브 마인,https://www.kobis.or.kr/common/mast/movie/2017/03/40f5a67b77604d688ccf58670913ea4f.jpg,랜드 오브 마인.jpg,20168592,"장편 | 예술영화 | 드라마, 전쟁 | 100분 44초 | 15세이상관람가 | 덴마크, 독일",2D,[주연] 미켈 보엘 폴스라르 | 루이스 호프만 | 조엘 바스만
150,오 마이 파파,https://www.kobis.or.kr/common/mast/movie/2016/10/355d7ad93ecb4a77adb0fe67cfd61c1e.jpg,오 마이 파파.jpg,20162927,장편 | 예술영화 | 다큐멘터리 | 96분 30초 | 전체관람가 | 한국,2D,[제작관리] 김혜영(회계관리)
151,세션 : 이 남자가 사랑하는 법,https://www.kobis.or.kr/common/mast/movie/2013/01/fdf0e658a0c54e63b9b19c3cebc07ee6.jpg,세션 - 이 남자가 사랑하는 법.jpg,20122232,장편 | 예술영화 | 드라마 | 95분 0초 | 청소년관람불가 | 미국,"필름,2D",[주연] 존 혹스(마크 오 브라이언) | 헬렌 헌트(칠리 코헨 그린) | 윌리엄 H. 머시 | 문 블러드굿
152,내가 고백을 하면,https://www.kobis.or.kr/common/mast/movie/2012/12/239d8d4e64e94026bfe482dce73fcf98.jpg,내가 고백을 하면.jpg,20120107,"장편 | 예술,독립 영화 | 멜로/로맨스, 드라마 | 100분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 김태우(인성) | 예지원(유정) | 안지혜(육정아)
153,래빗 홀,https://www.kobis.or.kr/upload/up_img/2011/11/mov_C34AF0_20111122172754_1.jpg,래빗 홀.jpg,20113487,장편 | 예술영화 | 드라마 | 91분 0초 | 15세이상관람가 | 미국,"필름,2D",[주연] 니콜 키드먼 | 아론 에크하트
154,바이올렛 에버가든 – 영원과 자동 수기 인형 -,https://www.kobis.or.kr/common/mast/movie/2020/03/cf1639c144a145b18f5ab12de6a950c7.jpg,바이올렛 에버가든 – 영원과 자동 수기 인형 -.jpg,20206141,장편 | 예술영화 | 애니메이션 | 90분 30초 | 전체관람가 | 일본,2D,[주연] 이시카와 유이 | 코토부키 미나코
155,리틀 맨하탄,https://www.kobis.or.kr/common/mast/movie/2018/06/1f48cdc5961c4a34988dd6f9c8b244c1.jpg,리틀 맨하탄.jpg,20058053,장편 | 일반영화 | 멜로/로맨스 | 89분 56초 | 전체관람가 | 미국,"필름,2D",[주연] 조쉬 허처슨 | 찰리 레이 | 신시아 닉슨 | 브래들리 휘트포드
156,엘프,https://www.kobis.or.kr/common/mast/movie/2021/01/c5a7a0d9d2d543319baebe494e772cd4.jpg,엘프.jpg,20202289,장편 | 일반영화 | 애니메이션 | 77분 45초 | 전체관람가 | 독일,2D,
157,피닉스,https://www.kobis.or.kr/common/mast/movie/2021/07/2e2694febbaf45c989a5917c319ce5c0.jpg,피닉스.jpg,20168708,장편 | 예술영화 | 드라마 | 98분 22초 | 12세이상관람가 | 독일,2D,[주연] 니나 호스 | 로널드 제르펠트
158,마티아스와 막심,https://www.kobis.or.kr/common/mast/movie/2020/07/0603460f042543b09958df9a33fcf4ed.jpg,마티아스와 막심.jpg,20190735,장편 | 예술영화 | 드라마 | 120분 15초 | 15세이상관람가 | 캐나다,2D,[주연] 자비에 돌란 | 가브리엘 달메이다 프레이타스
159,라스트 레터,https://www.kobis.or.kr/common/mast/movie/2021/02/776e0762feb44e6a8b989001aed62953.jpg,라스트 레터.jpg,20215862,장편 | 예술영화 | 멜로/로맨스 | 120분 30초 | 전체관람가 | 일본,2D,[주연] 마츠 다카코 | 히로세 스즈 | 안노 히데아키 | 모리 나나 | 토요카와 에츠시 | 나카야마 미호 | 카미키 류노스케 | 후쿠야마 마사하루
160,갈매기,https://www.kobis.or.kr/common/mast/movie/2018/11/e8b14b65c9c14773aa22c7a758352124.jpg,갈매기.jpg,20182670,장편 | 예술영화 | 드라마 | 98분 18초 | 12세이상관람가 | 미국,2D,[주연] 시얼샤 로넌 | 아네트 베닝
161,내 친구 정일우,https://www.kobis.or.kr/common/mast/movie/2017/09/5f70186556664143af2e914d37db3dfe.jpg,내 친구 정일우.jpg,20178461,"장편 | 예술,독립 영화 | 다큐멘터리 | 84분 27초 | 전체관람가 | 한국",2D,[주연] 김동원(나레이션)
162,씨민과 나데르의 별거,https://www.kobis.or.kr/upload/up_img/2011/09/mov_HA6HDD_20110906132433_1.jpg,씨민과 나데르의 별거.jpg,20112541,장편 | 예술영화 | 드라마 | 124분 0초 | 12세이상관람가 | 이란,"필름,2D",[주연] 레일라 하타미
163,케이크메이커,https://www.kobis.or.kr/common/mast/movie/2018/05/e0df7801b5b24e0c95774b556585ac6d.jpg,케이크메이커.jpg,20183581,"장편 | 예술영화 | 드라마, 멜로/로맨스 | 108분 28초 | 15세이상관람가 | 독일",2D,[주연] 사라 애들러 | 팀 칼코프 | 로이 밀러
164,나이트 헌터,https://www.kobis.or.kr/common/mast/movie/2020/01/1bc8e7b1fe4449d4a5f46524dee09397.jpg,나이트 헌터.jpg,20204162,"장편 | 일반영화 | 액션, 범죄, 스릴러, 드라마 | 98분 35초 | 15세이상관람가 | 캐나다",2D,[주연] 헨리 카빌 | 알렉산드라 다드다리오 | 벤 킹슬리 | 스탠리 투치
165,베네데타,https://www.kobis.or.kr/common/mast/movie/2021/11/42b9e3b96b6e4f0b969b93267cd50b51.jpg,베네데타.jpg,20210790,장편 | 예술영화 | 드라마 | 131분 18초 | 청소년관람불가 | 프랑스,2D,[주연] 비르지니 에피라(베네데타) | 다프네 파타키아(바톨로메아) | 샬롯 램플링 | 램버트 윌슨 | 클로틸드 쿠로
166,페어리테일: 봉황의 무녀,https://www.kobis.or.kr/common/mast/movie/2013/02/290af040710847f4b0f2bfdc211990e5.jpg,페어리테일- 봉황의 무녀.jpg,20134062,"장편 | 일반영화 | 애니메이션, 판타지 | 86분 0초 | 전체관람가 | 일본","필름,2D",
167,윈터스 본,https://www.kobis.or.kr/upload/up_img/2011/03/mov_3228IE_20110302110057_1.jpg,윈터스 본.jpg,20119129,"장편 | 예술영화 | 스릴러, 미스터리 | 100분 0초 | 청소년관람불가 | 미국","필름,2D",[주연] 제니퍼 로렌스(리 돌리)
168,시스터,https://www.kobis.or.kr/common/mast/movie/2014/01/ffb4a8eecbb847e287422d6965c9321c.jpg,시스터.jpg,20127726,"장편 | 예술영화 | 드라마 | 97분 0초 | 12세이상관람가 | 프랑스, 스위스","필름,2D",[주연] 레아 세이두 | 캐시 모텟 클레인 | 질리언 앤더슨
169,피쉬와 칩스 극장판,https://www.kobis.or.kr/common/mast/movie/2014/02/7f42beaf399240d78fab352959efe695.jpg,피쉬와 칩스 극장판.jpg,20147558,장편 | 예술영화 | 애니메이션 | 81분 44초 | 전체관람가 | 호주,"필름,2D",[주연] 존 레귀자모 | 마리오 캔톤 | 엄상현 | 김영선
170,현기증,https://www.kobis.or.kr/common/mast/movie/2017/08/c17a09d346014999bfa50694eb64f1d1.jpg,현기증.jpg,20141609,"장편 | 예술영화 | 가족, 드라마 | 93분 42초 | 청소년관람불가 | 한국","필름,2D",[주연] 김영애 | 송일국(상호) | 도지원 | 김소은
171,결혼하지 않아도 괜찮을까,https://www.kobis.or.kr/common/mast/movie/2015/03/07e41d63a0584e73a896baf6bdc36f23.jpg,결혼하지 않아도 괜찮을까.jpg,20143922,장편 | 예술영화 | 드라마 | 106분 23초 | 12세이상관람가 | 일본,"필름,2D",[주연] 시바사키 코우 | 마키 요코 | 테라지마 시노부
172,겁쟁이 페달: 더 무비,https://www.kobis.or.kr/common/mast/movie/2015/12/b888903236aa45d79c06bd0807336536.jpg,겁쟁이 페달- 더 무비.jpg,20159965,장편 | 예술영화 | 애니메이션 | 90분 4초 | 전체관람가 | 일본,"필름,2D",
173,돈 존,https://www.kobis.or.kr/common/mast/movie/2013/12/903824464b7f4206bb06e754fbca9e8b.jpg,돈 존.jpg,20136355,"장편 | 예술영화 | 코미디, 드라마, 멜로/로맨스 | 89분 50초 | 청소년관람불가 | 미국","필름,2D",[주연] 조셉 고든 레빗 | 스칼렛 요한슨 | 줄리안 무어 | 토니 단자
174,차가운 장미,https://www.kobis.or.kr/common/mast/movie/2014/05/8cb54cb2627049d4b800f0afc55952e0.jpg,차가운 장미.jpg,20148681,장편 | 예술영화 | 드라마 | 102분 28초 | 15세이상관람가 | 프랑스,"필름,2D",[주연] 다니엘 오떼유 | 크리스틴 스콧 토마스
175,부릉! 부릉! 브루미즈: 스피더의 모험 일기,https://www.kobis.or.kr/common/mast/movie/2016/12/18660b596de34b82b83e0aeafb71ba76.jpg,부릉! 부릉! 브루미즈- 스피더의 모험 일기.jpg,20164527,장편 | 예술영화 | 애니메이션 | 60분 0초 | 전체관람가 | 한국,2D,[주연] 양정화 | 엄상현 | 이소영
176,존 레논 비긴즈-노웨어 보이,https://www.kobis.or.kr/upload/up_img/2011/03/mov_20G422_20110322135902_1.jpg,존 레논 비긴즈-노웨어 보이.jpg,20101274,"장편 | 예술영화 | 드라마 | 98분 0초 | 15세이상관람가 | 영국, 캐나다",필름,[주연] 애론 테일러 존슨(존) | 크리스틴 스콧 토마스(미미)
