영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
듄: 파트2,https://www.kobis.or.kr/common/mast/movie/2024/02/1e9c09d38f7d4bcf8247e145a87de012.jpg,듄- 파트2.jpg,20236295,장편 | 일반영화 | 액션 | 165분 37초 | 12세이상관람가 | 미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 티모시 샬라메 | 젠데이아 콜먼 | 레베카 퍼거슨 | 조슈 브롤린 | 오스틴 버틀러 | 플로렌스 퓨 | 데이브 바티스타 | 크리스토퍼 월켄 | 스티븐 헨더슨 | 레아 세이두 | 스텔란 스카스가드 | 샬롯 램플링 | 하비에르 바르뎀
분노의 질주: 라이드 오어 다이,https://www.kobis.or.kr/common/mast/movie/2023/05/e37a1df7b75f4962983b511cdfb9507a.jpg,분노의 질주- 라이드 오어 다이.jpg,20231592,장편 | 일반영화 | 액션 | 140분 35초 | 15세이상관람가 | 미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 빈 디젤 | 제이슨 모모아 | 제이슨 스타뎀 | 샤를리즈 테론 | 브리 라슨 | 미셸 로드리게즈 | 성 강
교섭,https://www.kobis.or.kr/common/mast/movie/2022/12/115acdd9e2844399b21c49e67718919c.jpg,교섭.jpg,20190808,장편 | 일반영화 | 드라마 | 108분 3초 | 12세이상관람가 | 한국,2D,[주연] 황정민(재호) | 현빈(대식) | 강기영(카심)
시민덕희,https://www.kobis.or.kr/common/mast/movie/2024/01/1684bf7e41914b808510d89db2c10433.jpg,시민덕희.jpg,20206946,장편 | 일반영화 | 드라마 | 113분 41초 | 15세이상관람가 | 한국,2D,[주연] 라미란 | 공명 | 염혜란 | 박병은 | 장윤주 | 이무생 | 안은진
앤트맨과 와스프: 퀀텀매니아,https://www.kobis.or.kr/common/mast/movie/2023/02/3614a2a28006422db60207f4d9332791.jpg,앤트맨과 와스프- 퀀텀매니아.jpg,20230209,장편 | 일반영화 | 액션 | 124분 24초 | 12세이상관람가 | 미국,"2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 폴 러드(스캇 랭) | 에반젤린 릴리(호프 반 다인) | 미셀 파이퍼(재닛 반 다인) | 마이클 더글라스(행크 핌)
외계+인 1부,https://www.kobis.or.kr/common/mast/movie/2022/07/0e608457d3974db08ad67b0adfeaa1ed.jpg,외계+인 1부.jpg,20208446,"장편 | 일반영화 | 액션, 판타지, SF | 142분 24초 | 12세이상관람가 | 한국","2D,4D,IMAX",[주연] 류준열(무륵) | 김우빈(가드/썬더) | 김태리(이안) | 소지섭(문도석) | 염정아(흑설) | 조우진(청운) | 김의성(자장/의사) | 이하늬(민개인)
잠,https://www.kobis.or.kr/common/mast/movie/2023/09/ca12c92b0050461c813a68c6ad6da23f.jpg,잠.jpg,20224667,장편 | 일반영화 | 미스터리 | 94분 4초 | 15세이상관람가 | 한국,2D,[주연] 정유미(수진) | 이선균(현수)
외계+인 2부,https://www.kobis.or.kr/common/mast/movie/2023/12/7066b630670440a29392a03134a489e6.jpg,외계+인 2부.jpg,20235253,장편 | 일반영화 | 기타 | 122분 5초 | 12세이상관람가 | 한국,"2D,4D,IMAX,ScreenX",[주연] 류준열 | 김태리 | 김우빈 | 이하늬 | 염정아 | 조우진 | 김의성 | 진선규
위시,https://www.kobis.or.kr/common/mast/movie/2023/12/7a39c60c8f3f4edb88254625a0783d50.jpg,위시.jpg,20235834,장편 | 일반영화 | 애니메이션 | 94분 54초 | 전체관람가 | 미국,"2D,3D,4D,DOLBYCINEMA",[주연] 아리아나 데보스 | 크리스 파인 | 알란 터딕
달짝지근해: 7510,https://www.kobis.or.kr/common/mast/movie/2023/08/4aa89836d8bd4e148a787ded8c6215b6.jpg,달짝지근해- 7510.jpg,20226500,장편 | 일반영화 | 코미디 | 118분 36초 | 12세이상관람가 | 한국,2D,[주연] 유해진(치호) | 김희선(일영) | 차인표(석호) | 진선규(병훈) | 한선화(은숙) | 정다은(진주)
해적: 도깨비 깃발,https://www.kobis.or.kr/common/mast/movie/2022/01/5c12b763b8de407ca21659edf25fb266.jpg,해적- 도깨비 깃발.jpg,20201965,"장편 | 일반영화 | 어드벤처, 액션, 코미디 | 125분 49초 | 12세이상관람가 | 한국","2D,4D,IMAX",[주연] 강하늘(무치) | 한효주(해랑) | 이광수(막이) | 권상우(부흥수)
브로커,https://www.kobis.or.kr/common/mast/movie/2022/04/ada39d67c06740949aef3748818012fa.jpg,브로커.jpg,20206257,장편 | 일반영화 | 드라마 | 129분 9초 | 12세이상관람가 | 한국,2D,[주연] 송강호(상현) | 강동원(동수) | 배두나(수진) | 이지은(소영) | 이주영(이형사) | 윤슬(베이비박스 직원1)
신비한 동물들과 덤블도어의 비밀,https://www.kobis.or.kr/common/mast/movie/2022/03/65a5050d3c484495afe09377f996622f.jpg,신비한 동물들과 덤블도어의 비밀.jpg,20212725,"장편 | 일반영화 | 어드벤처, 가족, 판타지 | 142분 29초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 에디 레드메인(뉴트) | 주드 로(덤블도어) | 매즈 미켈슨(그린델왈드) | 캐서린 워터스턴(티나) | 댄 포글러(제이콥) | 앨리슨 수돌(퀴니) | 에즈라 밀러(크레덴스) | 칼럼 터너(테세우스) | 리차드 코일(애버포스) | 올리버 마수치(안톤 보겔)
