영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
에이리언: 커버넌트,https://www.kobis.or.kr/common/mast/movie/2017/05/71f2233e29e1430b8a37bb06a917fa83.jpg,에이리언- 커버넌트.jpg,20179382,"장편 | 일반영화 | SF, 스릴러 | 121분 55초 | 15세이상관람가 | 미국, 호주, 뉴질랜드","2D,4D",[주연] 마이클 패스벤더 | 캐서린 워터스턴 | 제임스 프랭코 | 누미 라파스 | 가이 피어스 | 빌리 크루덥 | 카르멘 에조고 | 대니 맥브라이드 | 주시 스몰렛
장산범,https://www.kobis.or.kr/common/mast/movie/2017/07/11cfb367e1dd454e9f56619220c8e642.jpg,장산범.jpg,20151003,"장편 | 일반영화 | 미스터리, 스릴러 | 99분 43초 | 15세이상관람가 | 한국",2D,[주연] 염정아 | 박혁권
셜록: 유령신부,https://www.kobis.or.kr/common/mast/movie/2015/11/12c4a4a63bed4355a31c57943e259726.jpg,셜록- 유령신부.jpg,20157042,"장편 | 일반영화 | 범죄, 드라마 | 114분 32초 | 12세이상관람가 | 영국","필름,2D",[주연] 베네딕트 컴버배치 | 마틴 프리먼
소스 코드,https://www.kobis.or.kr/upload/up_img/2011/04/mov_508548_20110429113800_1.jpg,소스 코드.jpg,20110221,"장편 | 일반영화 | 액션, SF, 스릴러 | 93분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 미셸 모나한(크리스티나 워렌) | 제이크 질렌할(콜터 스티븐스) | 베라 파미가
클로젯,https://www.kobis.or.kr/common/mast/movie/2020/01/a14b66a0cd1e492988dbecb7f563412e.jpg,클로젯.jpg,20182447,"장편 | 일반영화 | 미스터리, 드라마 | 97분 50초 | 15세이상관람가 | 한국",2D,[주연] 하정우(상원) | 김남길(경훈) | 허율(이나) | 김시아(명진)
간기남,https://www.kobis.or.kr/common/mast/movie/2012/03/e1aaf042f9744ca696161f24f10d098a.jpg,간기남.jpg,20124032,"장편 | 일반영화 | 코미디, 스릴러 | 117분 0초 | 청소년관람불가 | 한국","필름,2D",[주연] 박희순(강선우) | 박시연(김수진) | 주상욱(한길로) | 김정태(서형사) | 이한위(사반장) | 이광수(기풍) | 박희순
유열의 음악앨범,https://www.kobis.or.kr/common/mast/movie/2019/08/4fabae4d516f4f3b80b65964fc71064d.jpg,유열의 음악앨범.jpg,20181416,"장편 | 일반영화 | 멜로/로맨스, 드라마 | 122분 25초 | 12세이상관람가 | 한국",2D,[주연] 김고은(미수) | 정해인(현우) | 최강희
육혈포 강도단,https://www.kobis.or.kr/upload/up_img/cleansing/39/mov_20090939_4.jpg,육혈포 강도단.jpg,20090939,"장편 | 일반영화 | 코미디, 드라마, 액션 | 107분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 나문희(김정자) | 김수미(손영희) | 김혜옥(공신자) | 임창정(방준석) | 장원영(신자 아들)
메리다와 마법의 숲,https://www.kobis.or.kr/common/mast/movie/2012/12/d553ecb3a10c4ae78bae04f30463873c.1,메리다와 마법의 숲.jpg,20127634,장편 | 일반영화 | 애니메이션 | 102분 0초 | 전체관람가 | 미국,"필름,2D,3D",[주연] 켈리 맥도날드(메리다 공주) | 빌리 코놀리(퍼거스 왕) | 엠마 톰슨(엘리노 여왕) | 강소라(메리다 (한국어 더빙))
007 노 타임 투 다이,https://www.kobis.or.kr/common/mast/movie/2021/09/95f7b73532b342dcbe4018a869b0bed6.jpg,007 노 타임 투 다이.jpg,20191061,장편 | 일반영화 | 액션 | 163분 21초 | 12세이상관람가 | 미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 다니엘 크레이그(제임스 본드) | 라미 말렉(사핀) | 라샤냐 린치(노미) | 레아 세이두(매들린 스완) | 벤 위쇼(Q) | 아나 디 아르마스(팔로마) | 나오미 해리스(이브) | 랄프 파인즈(M)
